"ideo","pid","indiv_hwSuccess","indiv_failsame","indiv_willwork","egal_ensureEO","egal_probnoequal","egal_lessproblem","ofr_divineplan","ofr_lessable","sr_generations","sr_realchange","sr_tryhard","sr_workway","sr_welfare","sr_deserveless","sr_complaint","sr_crspeed"
1.38333333333333,0.516666666666667,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.33333333333333,0.5,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5,1,4,5,5,4,3,3,2,2,2,3,2,3,3,4,4,3
0.833333333333333,0.25,2,4,4,1,2,4,5,1,4,3,4,4,5,2,5,5
1.11666666666667,1.18333333333333,2,1,4,2,3,3,2,1,2,5,2,3,2,2,3,3
1.31666666666667,1.16666666666667,4,4,5,4,3,3,4,2,2,5,4,2,NA,2,NA,5
1.05,0.541666666666667,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.58333333333333,1.58333333333333,4,4,4,3,5,4,4,3,3,5,4,4,4,3,3,5
0.666666666666667,0.5,3,3,4,2,2,2,5,4,2,1,5,5,4,4,1,3
0.883333333333333,0.25,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.925,1.38333333333333,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.35,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1.16666666666667,2,1,4,2,5,5,3,1,5,1,5,5,5,5,5,5
1.63333333333333,1.33333333333333,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.85,1.36666666666667,5,4,4,1,2,1,1,4,4,5,4,5,5,5,3,5
0,1.43333333333333,NA,NA,NA,2,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.883333333333333,1.01666666666667,NA,NA,NA,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.733333333333333,0.566666666666667,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.125,0.2,4,2,4,2,2,1,5,2,2,5,4,2,3,3,1,3
1.1,0.666666666666667,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.95,1.33333333333333,4,3,4,1,2,2,1,2,2,5,3,4,3,4,4,5
0.5,1.33333333333333,2,3,2,4,5,3,5,2,3,1,5,2,4,2,3,3
0,0.075,1,1,2,1,1,2,3,3,2,5,4,5,3,4,4,3
1.31666666666667,1,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.25,2,2,5,1,1,1,5,3,5,1,4,5,5,4,5,5
1.125,0.833333333333333,4,4,4,4,2,2,5,2,2,3,4,4,NA,5,3,5
1.05,0.566666666666667,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5,0.425,NA,NA,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.275,1.16666666666667,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,5,5,5,1,5,3,NA,2,2,3,5,5,4,5,2,5
0.95,0.166666666666667,4,2,4,1,4,4,5,2,4,3,2,5,5,5,NA,3
1.31666666666667,1.48333333333333,5,4,5,1,5,5,3,1,3,3,4,4,4,3,4,3
0.5,0.683333333333333,NA,NA,NA,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.666666666666667,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.783333333333333,0.833333333333333,2,3,4,2,4,2,1,1,4,5,4,4,4,4,5,3
1.60833333333333,1.33333333333333,NA,NA,NA,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.16666666666667,1.45833333333333,4,4,4,1,4,5,1,1,1,5,2,4,1,4,2,3
1.16666666666667,1.48333333333333,NA,NA,NA,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.05,1.33333333333333,NA,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5,0.35,2,4,5,1,2,1,1,1,2,5,4,3,1,3,2,3
0.4,0.95,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.75833333333333,1.48333333333333,5,5,5,1,5,3,3,2,2,3,3,4,4,3,3,3
0.5,0.5,4,2,4,1,2,1,3,4,3,1,4,5,4,4,3,NA
1,0,NA,NA,NA,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.31666666666667,1.50833333333333,3,2,2,1,4,3,1,3,3,5,4,5,NA,4,3,5
1.175,0.766666666666667,4,2,4,1,3,4,5,2,2,5,4,5,3,4,NA,5
0.5,1.68333333333333,4,2,4,2,4,4,NA,NA,4,NA,2,5,5,4,5,3
1.38333333333333,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,NA,NA,NA,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1.09166666666667,2,2,5,1,1,1,3,2,3,3,4,2,4,4,4,1
1,0.375,1,4,5,1,1,1,1,1,5,5,5,5,5,5,5,3
1.26666666666667,1.05,NA,NA,NA,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.75,1.33333333333333,2,2,4,1,1,1,4,4,2,3,4,4,2,4,4,3
0.5,0,4,1,4,1,4,1,3,5,1,5,5,5,2,1,5,5
0.708333333333333,0.566666666666667,5,5,5,1,2,2,4,1,1,3,4,4,2,4,5,3
1.44166666666667,1.26666666666667,NA,NA,NA,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5,0.3,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.625,1.34166666666667,4,5,1,1,1,2,1,1,5,3,5,4,5,5,5,3
1.45833333333333,1.625,NA,NA,NA,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.53333333333333,1.33333333333333,NA,NA,NA,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.833333333333333,1.7,NA,NA,NA,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5,0.5,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.63333333333333,1.7,4,4,4,3,4,4,5,2,2,1,4,5,5,5,5,5
1.11666666666667,1.43333333333333,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.783333333333333,0.3,4,4,4,2,2,2,2,1,2,1,2,2,2,4,4,3
0.85,1.16666666666667,2,4,4,2,3,3,2,3,3,5,4,4,5,4,4,5
0,0.741666666666667,4,NA,5,1,3,2,5,NA,4,5,5,4,4,5,5,1
1.075,0.591666666666667,4,4,5,1,4,4,2,1,2,5,2,4,4,3,3,3
1.83333333333333,1.925,NA,NA,NA,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.9,0.566666666666667,2,2,5,1,4,3,1,1,1,3,1,2,2,2,2,3
0.833333333333333,1.26666666666667,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.55833333333333,0.483333333333333,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1.75,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.85,0.4,4,4,5,2,4,3,1,1,4,5,4,5,4,4,5,5
1.1,1.33333333333333,2,1,3,1,1,3,2,3,4,5,3,3,3,3,4,3
0,0.4,NA,2,3,2,3,3,4,NA,NA,3,4,5,NA,NA,NA,3
1.3,1.6,2,3,4,2,2,1,5,4,5,3,5,5,5,4,NA,5
0.608333333333333,0.466666666666667,4,4,2,1,2,2,1,1,2,3,2,3,2,4,2,3
0,0.95,2,2,5,1,4,2,5,3,1,1,4,5,3,3,3,3
1.39166666666667,1.63333333333333,NA,NA,NA,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.43333333333333,0.35,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5,0.491666666666667,5,5,4,1,2,1,1,1,5,5,5,5,5,5,5,5
0.391666666666667,0.15,1,2,5,1,1,1,5,1,4,5,4,4,1,1,1,3
0.9,1.75,4,5,4,5,3,5,3,4,3,5,5,5,5,4,4,5
1,1.05,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.25,NA,NA,NA,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.316666666666667,0.391666666666667,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5,1.43333333333333,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.35,0.883333333333333,4,1,4,1,5,NA,1,4,2,3,5,5,5,5,4,3
1,0.541666666666667,4,2,5,1,2,2,2,3,2,3,4,3,4,2,3,5
1.53333333333333,0.3,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.575,0.5,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.225,0.733333333333333,NA,NA,NA,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.35,NA,NA,NA,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3,0.616666666666667,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1.38333333333333,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.55,0.375,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.31666666666667,0.666666666666667,NA,NA,NA,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.766666666666667,1.375,5,1,4,1,5,1,1,1,5,1,5,5,5,5,2,5
1.05,0.35,NA,NA,NA,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.50833333333333,0,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.05,0.491666666666667,2,3,4,1,3,1,4,3,2,5,4,4,4,3,3,5
1.24166666666667,0.666666666666667,2,2,3,4,4,3,3,3,3,3,3,4,3,4,3,5
1.075,1.16666666666667,2,4,4,1,3,2,4,3,2,5,4,4,4,3,3,3
0.883333333333333,0.833333333333333,NA,NA,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.45,0.566666666666667,1,3,5,1,1,2,5,2,2,NA,4,5,4,4,3,3
0.716666666666667,0.95,2,2,5,2,4,1,5,4,2,5,5,5,5,5,5,5
1.51666666666667,0.666666666666667,4,4,4,1,2,2,1,1,1,3,4,4,2,2,1,3
1.33333333333333,1.05,2,3,5,1,1,1,5,3,2,3,5,4,3,3,2,5
1,1.26666666666667,NA,NA,NA,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.833333333333333,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.53333333333333,1.55,1,2,4,4,5,5,1,3,5,1,5,5,5,5,5,5
1,0.591666666666667,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.85,0.275,3,3,3,1,1,1,5,4,1,1,5,4,2,4,5,5
1.21666666666667,0.666666666666667,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5,0.5,NA,NA,NA,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.1,0.833333333333333,NA,NA,NA,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.666666666666667,0.45,NA,NA,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.55833333333333,1.39166666666667,NA,NA,NA,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.75,2,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.075,1,2,3,4,1,3,2,1,1,2,3,3,4,4,3,2,5
0.5,1,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.925,1.16666666666667,4,4,4,1,1,1,2,1,2,1,2,4,4,4,4,5
0.825,0.666666666666667,5,3,4,5,3,4,1,1,5,3,1,1,1,3,3,1
1.3,0.633333333333333,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.95,1.45833333333333,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.01666666666667,1.775,NA,NA,NA,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.833333333333333,2,5,4,3,5,1,1,1,4,5,5,5,2,5,5,5
0.5,0.616666666666667,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.9,0.833333333333333,4,3,4,4,4,2,1,2,2,3,3,2,2,3,3,3
1.50833333333333,1.38333333333333,NA,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.591666666666667,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5,0.783333333333333,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.95,0.35,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.11666666666667,0.566666666666667,4,2,4,2,2,2,2,2,2,3,2,2,2,4,4,3
0.733333333333333,1.7,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.75833333333333,1.51666666666667,4,3,4,4,4,4,2,2,4,5,NA,4,NA,4,4,3
1.06666666666667,1.16666666666667,5,5,5,1,5,1,1,1,1,1,3,4,4,2,5,3
0.4,2,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.908333333333333,4,3,5,1,4,4,5,2,5,5,5,5,5,4,3,5
1.53333333333333,1.41666666666667,NA,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.65,0.666666666666667,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.38333333333333,1.29166666666667,2,3,4,2,2,3,5,3,2,5,4,4,5,5,3,3
0.5,0.275,4,4,5,1,5,1,2,1,5,5,5,5,5,5,4,5
1.05,1.6,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1.33333333333333,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.883333333333333,1,2,2,4,1,2,2,1,1,1,3,4,1,2,2,2,1
1.16666666666667,0.833333333333333,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.5,NA,NA,NA,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5,1.15,NA,NA,NA,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1.51666666666667,5,1,5,3,1,1,1,1,2,5,3,5,4,5,5,NA
1.1,1.33333333333333,4,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3
0.608333333333333,1.16666666666667,NA,NA,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.60833333333333,1.925,NA,NA,NA,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.05,0.783333333333333,NA,NA,NA,2,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.24166666666667,1.55833333333333,4,4,4,1,2,2,4,2,2,3,4,4,4,4,4,5
0.6,0.591666666666667,NA,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.125,0.7,4,2,4,1,4,1,4,2,5,3,4,5,5,5,1,5
1,1,NA,NA,NA,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.26666666666667,1.43333333333333,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.75833333333333,1.7,5,2,5,5,4,4,1,1,2,5,1,4,3,5,NA,3
0,0.15,2,2,5,2,3,2,5,NA,3,5,5,NA,4,3,3,3
0.625,1.48333333333333,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.833333333333333,1,2,5,2,1,1,4,4,2,3,4,5,5,2,2,NA
1.16666666666667,1.43333333333333,NA,NA,NA,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.7,0.516666666666667,NA,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.06666666666667,1.33333333333333,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.68333333333333,1.38333333333333,NA,NA,NA,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.55,1.16666666666667,2,4,4,1,5,4,1,1,4,3,3,4,4,4,4,3
0.95,0.2,NA,NA,NA,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.16666666666667,1.33333333333333,NA,NA,NA,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.55833333333333,0.491666666666667,4,1,4,1,4,2,3,1,5,5,5,5,5,5,5,5
0.783333333333333,0.225,4,2,4,2,3,2,1,1,1,3,1,4,1,3,3,1
0.333333333333333,0.3,NA,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.7,0.266666666666667,NA,NA,NA,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5,0.391666666666667,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.26666666666667,0.566666666666667,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.566666666666667,1,2,1,1,1,2,4,1,4,5,5,5,5,4,4,5
1,0.35,4,3,4,1,2,2,4,1,3,3,2,3,3,3,4,3
1.16666666666667,0.683333333333333,2,4,1,1,2,2,5,2,4,5,4,4,4,5,5,3
0.45,0.833333333333333,2,4,5,1,2,1,1,1,1,5,4,2,4,5,5,5
1.45833333333333,1.21666666666667,5,2,4,2,4,5,1,2,4,3,4,2,4,4,4,3
0.95,0.566666666666667,NA,NA,NA,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.34166666666667,1.53333333333333,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.45833333333333,0.441666666666667,2,2,4,2,4,2,2,4,2,3,4,4,5,4,4,5
0.516666666666667,0.15,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.666666666666667,0.5,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.44166666666667,1.7,NA,NA,NA,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5,0.566666666666667,NA,NA,NA,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5,0.683333333333333,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.44166666666667,1.48333333333333,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.833333333333333,1.33333333333333,2,4,4,2,2,2,NA,3,1,3,4,5,4,2,1,3
1.68333333333333,1.16666666666667,1,1,5,2,5,1,4,1,1,1,1,4,2,4,2,5
0.833333333333333,1.26666666666667,5,5,5,1,3,3,1,1,2,5,2,3,4,3,3,3
0.95,0.783333333333333,1,2,2,1,1,3,1,1,2,3,2,2,4,4,5,3
0.5,0.616666666666667,3,3,4,2,4,3,3,4,3,3,3,4,3,3,2,3
1.26666666666667,1.43333333333333,3,4,4,2,3,4,1,1,1,3,3,3,3,4,2,3
1,0.666666666666667,NA,NA,NA,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.39166666666667,1,4,2,5,1,4,5,2,2,1,5,4,4,3,4,4,3
1,0.833333333333333,4,4,5,1,2,1,1,1,2,5,2,2,4,3,2,3
0.666666666666667,0.9,3,3,4,2,3,3,1,1,2,3,3,4,3,3,2,1
0.166666666666667,1.55,5,5,5,1,5,5,4,3,2,5,5,4,5,5,5,3
0,1.5,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.26666666666667,1,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,1.16666666666667,2,3,3,1,2,3,4,2,2,5,3,4,3,3,3,3
1.43333333333333,1.39166666666667,4,4,4,2,2,4,2,1,2,3,4,4,2,3,3,3
1.60833333333333,1.925,NA,NA,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.55833333333333,1.38333333333333,5,2,5,5,5,4,5,1,5,3,5,5,5,4,5,3
0.933333333333333,0.616666666666667,5,1,5,1,1,2,1,1,2,5,2,4,5,2,5,5
0,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.758333333333333,1.40833333333333,NA,NA,NA,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.25,0,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.16666666666667,1.33333333333333,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1.40833333333333,4,5,2,4,2,5,NA,NA,NA,1,NA,4,4,NA,NA,3
0.733333333333333,0.566666666666667,NA,NA,NA,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.575,0.833333333333333,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.783333333333333,1.43333333333333,NA,NA,NA,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.33333333333333,1.58333333333333,NA,NA,NA,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.31666666666667,0.616666666666667,NA,NA,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1.60833333333333,2,2,4,2,4,4,3,5,1,5,2,1,1,2,5,3
0.5,0.616666666666667,2,3,4,2,2,3,4,3,2,5,4,3,4,2,3,3
0.833333333333333,1,NA,NA,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.758333333333333,0.516666666666667,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.39166666666667,1.625,NA,NA,NA,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1.21666666666667,2,4,5,3,4,4,2,2,2,1,1,2,3,3,2,5
1.26666666666667,0.783333333333333,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.316666666666667,0.391666666666667,1,2,4,1,1,1,1,1,1,3,1,1,1,1,1,1
0,1,3,4,3,1,3,3,5,1,2,1,3,3,3,3,3,NA
0.9,0.225,NA,NA,NA,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.41666666666667,1.68333333333333,5,5,5,1,5,2,1,2,4,3,2,4,1,5,5,3
0.5,0.541666666666667,4,5,5,1,4,2,1,1,4,3,4,4,4,4,3,5
1.46666666666667,0.833333333333333,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.125,1.36666666666667,NA,NA,NA,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5,1.50833333333333,2,4,4,2,3,2,4,2,3,3,3,4,5,4,3,3
0.833333333333333,0.166666666666667,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.95,1.21666666666667,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.83333333333333,1.85,1,2,3,1,1,3,1,1,2,1,4,4,5,1,3,NA
0.6,1.7,4,4,5,1,4,1,5,4,2,5,5,5,5,5,1,3
0.725,1.16666666666667,NA,NA,NA,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.21666666666667,0.45,5,5,5,2,2,2,1,1,5,1,5,5,5,5,5,3
1.21666666666667,0.716666666666667,5,4,3,1,4,1,1,2,2,3,1,1,2,2,3,3
